,Author(s),frequency
0,Hermann Ney ,724
1,Gerhard P. Fettweis ,770
2,Alois C. Knoll ,542
3,Rolf Drechsler ,594
4,Helmut Krcmar ,652
5,Ralf Steinmetz ,559
6,Christoph Meinel ,661
7,Dacheng Tao ,842
8,Ling Shao 0001 ,506
9,Lajos Hanzo ,1476
10,Gerhard Weikum ,549
11,Daniela Rus ,553
12,Zhu Han 0001 ,835
13,Albert Y. Zomaya ,617
14,Viktor K. Prasanna ,627
15,Witold Pedrycz ,705
16,Wil M. P. van der Aalst ,601
17,Jiawei Han 0001 ,682
18,Mario Piattini ,554
19,Jie Wu 0001 ,585
20,Sajal K. Das 0001 ,548
21,Ajith Abraham ,545
22,Pramod K. Varshney ,507
23,Ronald R. Yager ,515
24,Tamer Basar ,505
25,Mihaela van der Schaar ,616
26,Guanrong Chen ,526
27,Massoud Pedram ,591
28,Schahram Dustdar ,516
29,Dinesh Manocha ,608
30,Hussein T. Mouftah ,570
31,Luca Benini ,682
32,Victor C. M. Leung ,1036
33,Xuelong Li 0001 ,648
34,Xin Yao 0001 ,632
35,Philip S. Yu ,1167
36,Rama Chellappa ,647
37,Anil K. Jain 0001 ,519
38,Wen Gao 0001 ,995
39,Toshio Fukuda ,509
40,Andrew Zisserman ,530
41,Mengjie Zhang 0001 ,515
42,Ali H. Sayed ,508
43,Aggelos K. Katsaggelos ,511
44,Maarten de Rijke ,586
45,Kaushik Roy 0001 ,648
46,Rajkumar Buyya ,638
47,Mérouane Debbah ,529
48,Luc Van Gool ,898
49,Georgios B. Giannakis ,782
50,Björn E. Ottersten ,753
51,Satoshi Nakamura 0001 ,529
52,Giuseppe Caire ,523
53,Robert Schober ,683
54,Mohsen Guizani ,831
55,Qi Tian 0001 ,561
56,Nassir Navab ,656
57,Rui Zhang 0006 ,532
58,Karl Henrik Johansson ,537
59,Francisco Herrera ,623
60,Ioannis Pitas ,554
61,Robert W. Heath Jr. ,657
62,Yoshua Bengio ,524
63,Haizhou Li 0001 ,644
64,Jiebo Luo ,512
65,Michele Zorzi ,742
66,Guang-Zhong Yang ,533
67,Mohamed-Slim Alouini ,1401
68,Moshe Y. Vardi ,615
69,Leonard Barolli ,517
70,Licheng Jiao ,573
71,Makoto Takizawa 0001 ,860
72,Kang G. Shin ,580
73,Hans-Peter Seidel ,579
74,Alberto L. Sangiovanni-Vincentelli ,508
75,Xuemin Shen ,636
76,Khaled Ben Letaief ,529
77,Choong Seon Hong ,518
78,Thomas S. Huang ,902
79,C.-C. Jay Kuo ,830
80,Edwin R. Hancock ,710
81,H. Vincent Poor ,1899
82,Shrikanth S. Narayanan ,595
83,Dinggang Shen ,705
84,K. J. Ray Liu ,628
